name,organism,model_bigg_id
ACOT8,Homo sapiens,Recon3D
GNPDA1,Homo sapiens,Recon3D
PLA2G4B,Homo sapiens,Recon3D
GNE,Homo sapiens,Recon3D
PIGK,Homo sapiens,Recon3D
SDR42E2,Homo sapiens,Recon3D
SLC17A4,Homo sapiens,Recon3D
NT5C1B-RDH14,Homo sapiens,Recon3D
ABCC5,Homo sapiens,Recon3D
ABCB6,Homo sapiens,Recon3D
ABCC9,Homo sapiens,Recon3D
COL4A3BP,Homo sapiens,Recon3D
UST,Homo sapiens,Recon3D
ADA,Homo sapiens,Recon3D
NAMPT,Homo sapiens,Recon3D
AASS,Homo sapiens,Recon3D
CHST4,Homo sapiens,Recon3D
SLC25A13,Homo sapiens,Recon3D
SLC25A15,Homo sapiens,Recon3D
DHRS9,Homo sapiens,Recon3D
NME6,Homo sapiens,Recon3D
DHRS2,Homo sapiens,Recon3D
COQ7,Homo sapiens,Recon3D
SLC17A2,Homo sapiens,Recon3D
GLYAT,Homo sapiens,Recon3D
ABCC4,Homo sapiens,Recon3D
CBSL,Homo sapiens,Recon3D
TCIRG1,Homo sapiens,Recon3D
B3GALT5,Homo sapiens,Recon3D
AKR1A1,Homo sapiens,Recon3D
B3GNT3,Homo sapiens,Recon3D
ABCA8,Homo sapiens,Recon3D
CDO1,Homo sapiens,Recon3D
BPNT1,Homo sapiens,Recon3D
CEPT1,Homo sapiens,Recon3D
ATP8A1,Homo sapiens,Recon3D
PEMT,Homo sapiens,Recon3D
ST3GAL6,Homo sapiens,Recon3D
CDS1,Homo sapiens,Recon3D
CDIPT,Homo sapiens,Recon3D
ACAA2,Homo sapiens,Recon3D
ECI2,Homo sapiens,Recon3D
ATP5H,Homo sapiens,Recon3D
SLC25A17,Homo sapiens,Recon3D
HTATIP2,Homo sapiens,Recon3D
AGPAT1,Homo sapiens,Recon3D
AGPAT2,Homo sapiens,Recon3D
SPTLC1,Homo sapiens,Recon3D
SLC35A1,Homo sapiens,Recon3D
SLC19A2,Homo sapiens,Recon3D
SLC34A2,Homo sapiens,Recon3D
CEL,Homo sapiens,Recon3D
TXNRD2,Homo sapiens,Recon3D
MTHFS,Homo sapiens,Recon3D
SLCO1B1,Homo sapiens,Recon3D
PAICS,Homo sapiens,Recon3D
ST6GALNAC2,Homo sapiens,Recon3D
ATP5L,Homo sapiens,Recon3D
PMVK,Homo sapiens,Recon3D
CES1,Homo sapiens,Recon3D
B3GNT2,Homo sapiens,Recon3D
EBP,Homo sapiens,Recon3D
FUT9,Homo sapiens,Recon3D
CERS1,Homo sapiens,Recon3D
UGT2B11,Homo sapiens,Recon3D
SLC12A7,Homo sapiens,Recon3D
MGEA5,Homo sapiens,Recon3D
PTGES3,Homo sapiens,Recon3D
AHCYL1,Homo sapiens,Recon3D
SLC17A3,Homo sapiens,Recon3D
MTHFD2,Homo sapiens,Recon3D
ADCY1,Homo sapiens,Recon3D
CFTR,Homo sapiens,Recon3D
NEU3,Homo sapiens,Recon3D
FAXDC2,Homo sapiens,Recon3D
ALDH1L1,Homo sapiens,Recon3D
FTCD,Homo sapiens,Recon3D
PDE10A,Homo sapiens,Recon3D
CYP46A1,Homo sapiens,Recon3D
SLC26A1,Homo sapiens,Recon3D
SLC22A7,Homo sapiens,Recon3D
HCST,Homo sapiens,Recon3D
ME3,Homo sapiens,Recon3D
ADCY2,Homo sapiens,Recon3D
DHRS4,Homo sapiens,Recon3D
EHMT2,Homo sapiens,Recon3D
RALBP1,Homo sapiens,Recon3D
PRDX3,Homo sapiens,Recon3D
UGT2A1,Homo sapiens,Recon3D
STARD3,Homo sapiens,Recon3D
ACOT2,Homo sapiens,Recon3D
UQCR11,Homo sapiens,Recon3D
SLC38A3,Homo sapiens,Recon3D
SDS,Homo sapiens,Recon3D
SLC27A5,Homo sapiens,Recon3D
SLC27A4,Homo sapiens,Recon3D
ADCY3,Homo sapiens,Recon3D
SLC27A3,Homo sapiens,Recon3D
SLC27A2,Homo sapiens,Recon3D
CHAT,Homo sapiens,Recon3D
B4GAT1,Homo sapiens,Recon3D
SLC35D2,Homo sapiens,Recon3D
AKR1C4,Homo sapiens,Recon3D
RPP14,Homo sapiens,Recon3D
HIBADH,Homo sapiens,Recon3D
SLC7A9,Homo sapiens,Recon3D
NUDT5,Homo sapiens,Recon3D
TREH,Homo sapiens,Recon3D
SLC2A6,Homo sapiens,Recon3D
CHIT1,Homo sapiens,Recon3D
CHKA,Homo sapiens,Recon3D
ADCY5,Homo sapiens,Recon3D
CHKB,Homo sapiens,Recon3D
PROSC,Homo sapiens,Recon3D
GALNT6,Homo sapiens,Recon3D
GALNT5,Homo sapiens,Recon3D
CA5B,Homo sapiens,Recon3D
SAT2,Homo sapiens,Recon3D
SLC6A14,Homo sapiens,Recon3D
RWDD2A,Homo sapiens,Recon3D
RDH13,Homo sapiens,Recon3D
CYP4F8,Homo sapiens,Recon3D
B4GALT7,Homo sapiens,Recon3D
ADCY6,Homo sapiens,Recon3D
PLCD3,Homo sapiens,Recon3D
SLCO2B1,Homo sapiens,Recon3D
CHST14,Homo sapiens,Recon3D
SLC46A1,Homo sapiens,Recon3D
SLC52A3,Homo sapiens,Recon3D
ACOT7,Homo sapiens,Recon3D
MGLL,Homo sapiens,Recon3D
AZIN2,Homo sapiens,Recon3D
CYP2U1,Homo sapiens,Recon3D
SDSL,Homo sapiens,Recon3D
ADCY7,Homo sapiens,Recon3D
SLC2A13,Homo sapiens,Recon3D
SLC22A9,Homo sapiens,Recon3D
GALNT13,Homo sapiens,Recon3D
PTPMT1,Homo sapiens,Recon3D
ADCY8,Homo sapiens,Recon3D
SLC26A9,Homo sapiens,Recon3D
SLC26A7,Homo sapiens,Recon3D
SLC25A26,Homo sapiens,Recon3D
CKB,Homo sapiens,Recon3D
SLC5A11,Homo sapiens,Recon3D
TBCB,Homo sapiens,Recon3D
CKM,Homo sapiens,Recon3D
CKMT1B,Homo sapiens,Recon3D
ADCY9,Homo sapiens,Recon3D
SLC22A12,Homo sapiens,Recon3D
CKMT2,Homo sapiens,Recon3D
MOGAT1,Homo sapiens,Recon3D
ACSM1,Homo sapiens,Recon3D
SLC26A8,Homo sapiens,Recon3D
SLC16A10,Homo sapiens,Recon3D
GALNT15,Homo sapiens,Recon3D
IP6K3,Homo sapiens,Recon3D
CLC,Homo sapiens,Recon3D
COMTD1,Homo sapiens,Recon3D
PNLIPRP3,Homo sapiens,Recon3D
TPP1,Homo sapiens,Recon3D
SLC36A4,Homo sapiens,Recon3D
CLPS,Homo sapiens,Recon3D
SDR9C7,Homo sapiens,Recon3D
TPH2,Homo sapiens,Recon3D
CMA1,Homo sapiens,Recon3D
AK7,Homo sapiens,Recon3D
PLD4,Homo sapiens,Recon3D
ADSSL1,Homo sapiens,Recon3D
ACOT4,Homo sapiens,Recon3D
SLC24A4,Homo sapiens,Recon3D
SLC25A29,Homo sapiens,Recon3D
DEGS2,Homo sapiens,Recon3D
SLC51B,Homo sapiens,Recon3D
HYKK,Homo sapiens,Recon3D
PLA2G4E,Homo sapiens,Recon3D
ACSM2A,Homo sapiens,Recon3D
ABCC2,Homo sapiens,Recon3D
CANT1,Homo sapiens,Recon3D
CYB5D1,Homo sapiens,Recon3D
B4GALNT2,Homo sapiens,Recon3D
SLC43A2,Homo sapiens,Recon3D
GGT6,Homo sapiens,Recon3D
ADH1A,Homo sapiens,Recon3D
AFMID,Homo sapiens,Recon3D
SLC5A10,Homo sapiens,Recon3D
COX6B2,Homo sapiens,Recon3D
ACER1,Homo sapiens,Recon3D
ADH1B,Homo sapiens,Recon3D
CPT1C,Homo sapiens,Recon3D
NDUFA11,Homo sapiens,Recon3D
CYP4F22,Homo sapiens,Recon3D
B3GALT6,Homo sapiens,Recon3D
CNP,Homo sapiens,Recon3D
ADH1C,Homo sapiens,Recon3D
ATP6V1G3,Homo sapiens,Recon3D
ADH4,Homo sapiens,Recon3D
PIGU,Homo sapiens,Recon3D
ADH5,Homo sapiens,Recon3D
CMPK2,Homo sapiens,Recon3D
MBOAT2,Homo sapiens,Recon3D
NEU4,Homo sapiens,Recon3D
ACMSD,Homo sapiens,Recon3D
SGPP2,Homo sapiens,Recon3D
MDH1B,Homo sapiens,Recon3D
ADH6,Homo sapiens,Recon3D
COMT,Homo sapiens,Recon3D
UROC1,Homo sapiens,Recon3D
ADH7,Homo sapiens,Recon3D
GLYCTK,Homo sapiens,Recon3D
GNPDA2,Homo sapiens,Recon3D
COX4I1,Homo sapiens,Recon3D
COX5B,Homo sapiens,Recon3D
ADK,Homo sapiens,Recon3D
ENPP6,Homo sapiens,Recon3D
COX6A1,Homo sapiens,Recon3D
COX6A2,Homo sapiens,Recon3D
COX6B1,Homo sapiens,Recon3D
ACOT12,Homo sapiens,Recon3D
COX6C,Homo sapiens,Recon3D
COX7A1,Homo sapiens,Recon3D
COX7A2,Homo sapiens,Recon3D
COX7B,Homo sapiens,Recon3D
COX7C,Homo sapiens,Recon3D
B3GAT2,Homo sapiens,Recon3D
COX8A,Homo sapiens,Recon3D
CP,Homo sapiens,Recon3D
CPA1,Homo sapiens,Recon3D
CPA2,Homo sapiens,Recon3D
CPOX,Homo sapiens,Recon3D
CPS1,Homo sapiens,Recon3D
CPT1A,Homo sapiens,Recon3D
CPT1B,Homo sapiens,Recon3D
CPT2,Homo sapiens,Recon3D
ADHFE1,Homo sapiens,Recon3D
PXDNL,Homo sapiens,Recon3D
GPAT4,Homo sapiens,Recon3D
PIP5KL1,Homo sapiens,Recon3D
CRAT,Homo sapiens,Recon3D
PTPDC1,Homo sapiens,Recon3D
UPRT,Homo sapiens,Recon3D
AADAC,Homo sapiens,Recon3D
SLC32A1,Homo sapiens,Recon3D
GCNT7,Homo sapiens,Recon3D
NANP,Homo sapiens,Recon3D
SLC34A3,Homo sapiens,Recon3D
CS,Homo sapiens,Recon3D
AMDHD1,Homo sapiens,Recon3D
SLC2A14,Homo sapiens,Recon3D
B3GLCT,Homo sapiens,Recon3D
RDH12,Homo sapiens,Recon3D
MDP1,Homo sapiens,Recon3D
MGAT5B,Homo sapiens,Recon3D
B3GNTL1,Homo sapiens,Recon3D
SLC47A2,Homo sapiens,Recon3D
SLC25A10,Homo sapiens,Recon3D
B3GALNT2,Homo sapiens,Recon3D
CTBP1,Homo sapiens,Recon3D
CTH,Homo sapiens,Recon3D
CTPS1,Homo sapiens,Recon3D
UPP2,Homo sapiens,Recon3D
MGAT4D,Homo sapiens,Recon3D
SLC36A2,Homo sapiens,Recon3D
CYC1,Homo sapiens,Recon3D
SLC2A12,Homo sapiens,Recon3D
MBOAT1,Homo sapiens,Recon3D
CYP1A1,Homo sapiens,Recon3D
CYP1A2,Homo sapiens,Recon3D
CYP1B1,Homo sapiens,Recon3D
CYP2A6,Homo sapiens,Recon3D
CYP2A7,Homo sapiens,Recon3D
SLC2A7,Homo sapiens,Recon3D
CYP3A7,Homo sapiens,Recon3D
CYP2A13,Homo sapiens,Recon3D
CYP2B6,Homo sapiens,Recon3D
CYP2C19,Homo sapiens,Recon3D
CYP2C8,Homo sapiens,Recon3D
CYP2C9,Homo sapiens,Recon3D
CYP2C18,Homo sapiens,Recon3D
CYP2D6,Homo sapiens,Recon3D
CYP2E1,Homo sapiens,Recon3D
CYP2F1,Homo sapiens,Recon3D
CYP2J2,Homo sapiens,Recon3D
RDH10,Homo sapiens,Recon3D
CYP3A4,Homo sapiens,Recon3D
CYP3A5,Homo sapiens,Recon3D
CYP4A11,Homo sapiens,Recon3D
CYP4B1,Homo sapiens,Recon3D
CYP7A1,Homo sapiens,Recon3D
CYP8B1,Homo sapiens,Recon3D
CYP11A1,Homo sapiens,Recon3D
CYP11B1,Homo sapiens,Recon3D
FAAH2,Homo sapiens,Recon3D
CYP11B2,Homo sapiens,Recon3D
CYP17A1,Homo sapiens,Recon3D
CYP19A1,Homo sapiens,Recon3D
CYP21A2,Homo sapiens,Recon3D
ADSL,Homo sapiens,Recon3D
CYP24A1,Homo sapiens,Recon3D
CYP27A1,Homo sapiens,Recon3D
CYP27B1,Homo sapiens,Recon3D
CYP51A1,Homo sapiens,Recon3D
SLC5A12,Homo sapiens,Recon3D
ADSS,Homo sapiens,Recon3D
AANAT,Homo sapiens,Recon3D
LDHAL6A,Homo sapiens,Recon3D
ALDH1L2,Homo sapiens,Recon3D
DGKA,Homo sapiens,Recon3D
SLC5A8,Homo sapiens,Recon3D
DGKB,Homo sapiens,Recon3D
DGKH,Homo sapiens,Recon3D
DGKG,Homo sapiens,Recon3D
DGKQ,Homo sapiens,Recon3D
DAO,Homo sapiens,Recon3D
DBH,Homo sapiens,Recon3D
DBI,Homo sapiens,Recon3D
NAGS,Homo sapiens,Recon3D
PHOSPHO1,Homo sapiens,Recon3D
DBT,Homo sapiens,Recon3D
ECI1,Homo sapiens,Recon3D
DCK,Homo sapiens,Recon3D
PLPPR5,Homo sapiens,Recon3D
DCTD,Homo sapiens,Recon3D
ACE,Homo sapiens,Recon3D
DCT,Homo sapiens,Recon3D
DDC,Homo sapiens,Recon3D
AKR1C1,Homo sapiens,Recon3D
AKR1C2,Homo sapiens,Recon3D
CHST13,Homo sapiens,Recon3D
DECR1,Homo sapiens,Recon3D
MMAA,Homo sapiens,Recon3D
SGMS2,Homo sapiens,Recon3D
GALNTL5,Homo sapiens,Recon3D
IDO2,Homo sapiens,Recon3D
FUT11,Homo sapiens,Recon3D
COX7B2,Homo sapiens,Recon3D
CLYBL,Homo sapiens,Recon3D
DGUOK,Homo sapiens,Recon3D
DHCR7,Homo sapiens,Recon3D
DHCR24,Homo sapiens,Recon3D
DHFR,Homo sapiens,Recon3D
DHODH,Homo sapiens,Recon3D
CYB5R3,Homo sapiens,Recon3D
NQO1,Homo sapiens,Recon3D
DIO1,Homo sapiens,Recon3D
DIO2,Homo sapiens,Recon3D
DIO3,Homo sapiens,Recon3D
DLAT,Homo sapiens,Recon3D
DLD,Homo sapiens,Recon3D
DLST,Homo sapiens,Recon3D
SARDH,Homo sapiens,Recon3D
AGA,Homo sapiens,Recon3D
AGL,Homo sapiens,Recon3D
DPEP1,Homo sapiens,Recon3D
DPYD,Homo sapiens,Recon3D
DPYS,Homo sapiens,Recon3D
DPYSL2,Homo sapiens,Recon3D
DPYSL3,Homo sapiens,Recon3D
SLC26A3,Homo sapiens,Recon3D
SLC26A2,Homo sapiens,Recon3D
DTYMK,Homo sapiens,Recon3D
DUT,Homo sapiens,Recon3D
TYMP,Homo sapiens,Recon3D
ECH1,Homo sapiens,Recon3D
ECHS1,Homo sapiens,Recon3D
AGXT,Homo sapiens,Recon3D
ABAT,Homo sapiens,Recon3D
AHCY,Homo sapiens,Recon3D
B3GNT6,Homo sapiens,Recon3D
HIGD2A,Homo sapiens,Recon3D
SDR16C5,Homo sapiens,Recon3D
PLPP4,Homo sapiens,Recon3D
EHHADH,Homo sapiens,Recon3D
ADCY4,Homo sapiens,Recon3D
LDHD,Homo sapiens,Recon3D
FUK,Homo sapiens,Recon3D
CYP4Z1,Homo sapiens,Recon3D
ABCA1,Homo sapiens,Recon3D
SLC5A9,Homo sapiens,Recon3D
PIKFYVE,Homo sapiens,Recon3D
ALG1L,Homo sapiens,Recon3D
SLC51A,Homo sapiens,Recon3D
PLD6,Homo sapiens,Recon3D
HACD2,Homo sapiens,Recon3D
STT3B,Homo sapiens,Recon3D
ENO1,Homo sapiens,Recon3D
ENO2,Homo sapiens,Recon3D
ENO3,Homo sapiens,Recon3D
SLC29A1,Homo sapiens,Recon3D
AK1,Homo sapiens,Recon3D
CERS3,Homo sapiens,Recon3D
AK2,Homo sapiens,Recon3D
EPHX2,Homo sapiens,Recon3D
AK4,Homo sapiens,Recon3D
SLC36A1,Homo sapiens,Recon3D
ESD,Homo sapiens,Recon3D
ETFA,Homo sapiens,Recon3D
ETFB,Homo sapiens,Recon3D
ALAD,Homo sapiens,Recon3D
ETFDH,Homo sapiens,Recon3D
ALAS1,Homo sapiens,Recon3D
ALAS2,Homo sapiens,Recon3D
EXT1,Homo sapiens,Recon3D
EXT2,Homo sapiens,Recon3D
EXTL1,Homo sapiens,Recon3D
EXTL2,Homo sapiens,Recon3D
EXTL3,Homo sapiens,Recon3D
ABCD1,Homo sapiens,Recon3D
FABP4,Homo sapiens,Recon3D
FABP1,Homo sapiens,Recon3D
FABP2,Homo sapiens,Recon3D
ALDH1A1,Homo sapiens,Recon3D
FABP3,Homo sapiens,Recon3D
FABP5,Homo sapiens,Recon3D
FABP6,Homo sapiens,Recon3D
FABP7,Homo sapiens,Recon3D
ALDH2,Homo sapiens,Recon3D
ACSL1,Homo sapiens,Recon3D
ACSL3,Homo sapiens,Recon3D
ACSL4,Homo sapiens,Recon3D
FAH,Homo sapiens,Recon3D
ALDH3A1,Homo sapiens,Recon3D
FASN,Homo sapiens,Recon3D
ALDH1B1,Homo sapiens,Recon3D
ABCA3,Homo sapiens,Recon3D
LRTOMT,Homo sapiens,Recon3D
FBP1,Homo sapiens,Recon3D
ALDH1A3,Homo sapiens,Recon3D
CES5A,Homo sapiens,Recon3D
PRPS1L1,Homo sapiens,Recon3D
DAGLB,Homo sapiens,Recon3D
ALDH3B1,Homo sapiens,Recon3D
FDFT1,Homo sapiens,Recon3D
FDPS,Homo sapiens,Recon3D
HS3ST5,Homo sapiens,Recon3D
SLC29A4,Homo sapiens,Recon3D
ALDH3B2,Homo sapiens,Recon3D
FECH,Homo sapiens,Recon3D
ALDH9A1,Homo sapiens,Recon3D
ALDH3A2,Homo sapiens,Recon3D
ABCD2,Homo sapiens,Recon3D
ALDOA,Homo sapiens,Recon3D
FH,Homo sapiens,Recon3D
CHSY1,Homo sapiens,Recon3D
INPP5F,Homo sapiens,Recon3D
SACM1L,Homo sapiens,Recon3D
RPIA,Homo sapiens,Recon3D
NT5C2,Homo sapiens,Recon3D
ALDOB,Homo sapiens,Recon3D
PLCH1,Homo sapiens,Recon3D
NMNAT2,Homo sapiens,Recon3D
SETD1B,Homo sapiens,Recon3D
ALDOC,Homo sapiens,Recon3D
SLC35D1,Homo sapiens,Recon3D
LPIN1,Homo sapiens,Recon3D
AKR1B1,Homo sapiens,Recon3D
PMPCA,Homo sapiens,Recon3D
ACSBG1,Homo sapiens,Recon3D
PLCB1,Homo sapiens,Recon3D
ATP11A,Homo sapiens,Recon3D
PPIP5K2,Homo sapiens,Recon3D
ACSL6,Homo sapiens,Recon3D
SLC9A8,Homo sapiens,Recon3D
TNS2,Homo sapiens,Recon3D
PIP5K1C,Homo sapiens,Recon3D
MLYCD,Homo sapiens,Recon3D
SLC7A8,Homo sapiens,Recon3D
TPSD1,Homo sapiens,Recon3D
ATP1B4,Homo sapiens,Recon3D
SLC35A3,Homo sapiens,Recon3D
GCAT,Homo sapiens,Recon3D
QPRT,Homo sapiens,Recon3D
SEC11A,Homo sapiens,Recon3D
FOLR1,Homo sapiens,Recon3D
CES3,Homo sapiens,Recon3D
HAAO,Homo sapiens,Recon3D
FOLR2,Homo sapiens,Recon3D
FOLR3,Homo sapiens,Recon3D
NNT,Homo sapiens,Recon3D
PIK3R5,Homo sapiens,Recon3D
SLC16A8,Homo sapiens,Recon3D
ATP6V0A2,Homo sapiens,Recon3D
PIGN,Homo sapiens,Recon3D
CHST5,Homo sapiens,Recon3D
FPGS,Homo sapiens,Recon3D
AMACR,Homo sapiens,Recon3D
CA14,Homo sapiens,Recon3D
PLD3,Homo sapiens,Recon3D
SLC7A11,Homo sapiens,Recon3D
BHMT2,Homo sapiens,Recon3D
PISD,Homo sapiens,Recon3D
ALOX12,Homo sapiens,Recon3D
ALOX5,Homo sapiens,Recon3D
ATP6V0D2,Homo sapiens,Recon3D
ATP6V1C2,Homo sapiens,Recon3D
SLC17A8,Homo sapiens,Recon3D
ALOX15,Homo sapiens,Recon3D
ALOX15B,Homo sapiens,Recon3D
ALPI,Homo sapiens,Recon3D
FTH1,Homo sapiens,Recon3D
ALPL,Homo sapiens,Recon3D
ABCA4,Homo sapiens,Recon3D
ALPP,Homo sapiens,Recon3D
FTL,Homo sapiens,Recon3D
FUCA1,Homo sapiens,Recon3D
FUCA2,Homo sapiens,Recon3D
ALPPL2,Homo sapiens,Recon3D
FUT1,Homo sapiens,Recon3D
FUT2,Homo sapiens,Recon3D
FUT3,Homo sapiens,Recon3D
FUT4,Homo sapiens,Recon3D
FUT5,Homo sapiens,Recon3D
FUT6,Homo sapiens,Recon3D
FUT7,Homo sapiens,Recon3D
TECRL,Homo sapiens,Recon3D
KDSR,Homo sapiens,Recon3D
LCLAT1,Homo sapiens,Recon3D
CERS6,Homo sapiens,Recon3D
G6PC,Homo sapiens,Recon3D
G6PD,Homo sapiens,Recon3D
SLC37A4,Homo sapiens,Recon3D
GAA,Homo sapiens,Recon3D
ST6GALNAC3,Homo sapiens,Recon3D
PLCXD2,Homo sapiens,Recon3D
GAD1,Homo sapiens,Recon3D
GPX6,Homo sapiens,Recon3D
GAD2,Homo sapiens,Recon3D
SLC24A2,Homo sapiens,Recon3D
PGLS,Homo sapiens,Recon3D
GALC,Homo sapiens,Recon3D
GALE,Homo sapiens,Recon3D
SULT4A1,Homo sapiens,Recon3D
MGAT4C,Homo sapiens,Recon3D
B4GALNT1,Homo sapiens,Recon3D
GALK1,Homo sapiens,Recon3D
GALK2,Homo sapiens,Recon3D
MPC2,Homo sapiens,Recon3D
GALNS,Homo sapiens,Recon3D
GALNT1,Homo sapiens,Recon3D
MTHFD1L,Homo sapiens,Recon3D
GALNT2,Homo sapiens,Recon3D
GALNT3,Homo sapiens,Recon3D
SGMS1,Homo sapiens,Recon3D
GALT,Homo sapiens,Recon3D
IL4I1,Homo sapiens,Recon3D
GAMT,Homo sapiens,Recon3D
GANC,Homo sapiens,Recon3D
GAPDH,Homo sapiens,Recon3D
MOXD1,Homo sapiens,Recon3D
TKFC,Homo sapiens,Recon3D
ACOT11,Homo sapiens,Recon3D
CYP4X1,Homo sapiens,Recon3D
GLCE,Homo sapiens,Recon3D
HACL1,Homo sapiens,Recon3D
DECR2,Homo sapiens,Recon3D
GART,Homo sapiens,Recon3D
PHGDH,Homo sapiens,Recon3D
B3GAT3,Homo sapiens,Recon3D
SLC13A4,Homo sapiens,Recon3D
HIBCH,Homo sapiens,Recon3D
PLA2G2D,Homo sapiens,Recon3D
AK5,Homo sapiens,Recon3D
GATM,Homo sapiens,Recon3D
GALNT8,Homo sapiens,Recon3D
GBA,Homo sapiens,Recon3D
AMD1,Homo sapiens,Recon3D
GBGT1,Homo sapiens,Recon3D
GBE1,Homo sapiens,Recon3D
GAPDHS,Homo sapiens,Recon3D
GCDH,Homo sapiens,Recon3D
GCH1,Homo sapiens,Recon3D
GCK,Homo sapiens,Recon3D
SLC17A5,Homo sapiens,Recon3D
GCNT1,Homo sapiens,Recon3D
GCNT2,Homo sapiens,Recon3D
GCSH,Homo sapiens,Recon3D
HS6ST3,Homo sapiens,Recon3D
MAGEA2B,Homo sapiens,Recon3D
ATP5L2,Homo sapiens,Recon3D
GFPT1,Homo sapiens,Recon3D
GGT1,Homo sapiens,Recon3D
B4GALT1,Homo sapiens,Recon3D
GGT7,Homo sapiens,Recon3D
OPLAH,Homo sapiens,Recon3D
GGT5,Homo sapiens,Recon3D
AOC1,Homo sapiens,Recon3D
TPK1,Homo sapiens,Recon3D
ACAD8,Homo sapiens,Recon3D
PPA2,Homo sapiens,Recon3D
B3GAT1,Homo sapiens,Recon3D
UQCRQ,Homo sapiens,Recon3D
ST6GALNAC4,Homo sapiens,Recon3D
AMPD1,Homo sapiens,Recon3D
ATP5S,Homo sapiens,Recon3D
GK,Homo sapiens,Recon3D
PDE7B,Homo sapiens,Recon3D
INPP5J,Homo sapiens,Recon3D
GK2,Homo sapiens,Recon3D
CHIA,Homo sapiens,Recon3D
GLS2,Homo sapiens,Recon3D
GLA,Homo sapiens,Recon3D
AMPD2,Homo sapiens,Recon3D
GLB1,Homo sapiens,Recon3D
GNMT,Homo sapiens,Recon3D
COQ2,Homo sapiens,Recon3D
SULT1B1,Homo sapiens,Recon3D
GCLC,Homo sapiens,Recon3D
AMPD3,Homo sapiens,Recon3D
HPGDS,Homo sapiens,Recon3D
GCLM,Homo sapiens,Recon3D
GLDC,Homo sapiens,Recon3D
GLO1,Homo sapiens,Recon3D
MAT2B,Homo sapiens,Recon3D
GLS,Homo sapiens,Recon3D
GLRX,Homo sapiens,Recon3D
GLUD1,Homo sapiens,Recon3D
GLUD2,Homo sapiens,Recon3D
GLUL,Homo sapiens,Recon3D
AMT,Homo sapiens,Recon3D
GM2A,Homo sapiens,Recon3D
GMDS,Homo sapiens,Recon3D
